"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Endless Love","Diana Ross",1981,"4GBPZmnLHEMdthyo2RDolF",0.437,0.338,93.511,-10.108,0.0252,0.484,0.00042,0.188
"2","Bette Davis Eyes","Kim Carnes",1981,"0kPeymTUiaidv48eRrMISu",0.659,0.541,116.685,-7.919,0.0272,0.0174,0,0.198
"3","Lady - 2006 Digital Remaster","Kenny Rogers",1981,"3liZoKeEr6fosBe4fiIOyF",0.455,0.267,67.858,-13.156,0.0311,0.633,4.65e-06,0.132
"4","(Just Like) Starting Over","The Sounds Of John Lennon",1981,"7tpAUXNjbxqyPhvT4MrQBB",0.512,0.824,148.063,-7.269,0.274,0.474,0.000283,0.0808
"5","Jessie's Girl","Rick Springfield",1981,"1sH1EgYWUhN8KR3Nx2XYQa",0.726,0.85,131.64,-5.337,0.0512,0.168,0,0.123
"6","Celebration","Kool & The Gang",1981,"67V2T2fOmI803Y6FS6OJzE",0.844,0.854,121.6,-5.187,0.0452,0.108,0.00794,0.0512
"7","Kiss On My List - Remastered","Daryl Hall & John Oates",1981,"3QDMOnNZKEUrKNniv3LNmz",0.804,0.74,121.72,-9.491,0.029,0.201,0.0122,0.063
"8","I Love A Rainy Night","Eddie Rabbitt",1981,"0zvNHIL7ci0ZzIoWU6RO2u",0.685,0.718,131.463,-7.724,0.0521,0.122,0,0.0556
"9","9 to 5","Dolly Parton",1981,"5nzXa1PU1JZM5vY0JebVDE",0.553,0.471,104.2,-15.318,0.0539,0.282,0.00036,0.115
"10","Keep on Loving You","REO Speedwagon",1981,"3PzK9Rm8DANCry1ivpAuy7",0.324,0.739,174.585,-5.826,0.0337,0.0386,0,0.168
"11","Theme From ""Greatest American Hero"" (Believe It Or Not)","Joey Scarbury",1981,"375ntCG12wzCyfzclwYFwG",0.521,0.743,117.129,-5.903,0.0338,0.249,0,0.096
"12","Morning Train (Nine to Five)","Sheena Easton",1981,"6CEKntwndUlmWhSRflWA5X",0.797,0.511,121.874,-10.618,0.0552,0.686,0,0.122
"13","Being With You - Single Version","Smokey Robinson",1981,"4xY0ySGvoW8pBWBk2NjVip",0.608,0.476,108.338,-9.937,0.0259,0.726,8.44e-05,0.204
"14","Queen Of Hearts","Juice Newton",1981,"2c2DZHcSLqfCfGEkRMVt1T",0.7,0.85,168.835,-8.351,0.0592,0.0946,1.14e-06,0.122
"15","Rapture","Blondie",1981,"6F2vo4sxRNQ58VYe3pdiaL",0.724,0.704,107.486,-8.258,0.0511,0.113,0.00425,0.466
"16","A Woman Needs Love (Just Like You Do)","Ray Parker, Jr.",1981,"40SLZpTphbzARSTdEhMrax",0.742,0.482,91.891,-11.618,0.0316,0.268,0,0.361
"17","The Tide Is High","Blondie",1981,"4Wljbzc4Zg0Vxv4QAM3tYB",0.78,0.665,96.951,-7.233,0.0257,0.051,0.0454,0.111
"18","Just The Two Of Us","Grover Washington, Jr.",1981,"70AhDADPvD8cRhjfgBUjhZ",0.787,0.326,95.892,-14.809,0.0835,0.418,0.0263,0.0514
"19","Slow Hand","The Pointer Sisters",1981,"0woCEywARpK9rZvyaEDimi",0.83,0.464,110.804,-11.407,0.0375,0.286,5.45e-06,0.0549
"20","Woman","The Sounds Of John Lennon",1981,"3FACScEHiaotcmzgfmUqr2",0.404,0.529,168.023,-9.06,0.0299,0.631,0.000333,0.0801
"21","Sukiyaki - 2000 Digital Remaster","A Taste Of Honey",1981,"4FwOQZ6L39ZyHYwmPwlJZw",0.552,0.387,135.874,-10.147,0.031,0.85,1.65e-05,0.113
"22","The Winner Takes It All","ABBA",1981,"5He05uEYvu0f3B8JjAcBom",0.435,0.786,126.48,-6.333,0.0364,0.26,0.0069,0.0353
"23","More Stars (U.S.A. Version) - Original 12 Inch Version","Stars On 45",1981,"5bIPCke6GiZqGAtSzqcTCM",0.728,0.662,120.52,-6.687,0.0616,0.0434,8.21e-05,0.308
"24","Angel Of The Morning (Re-Recorded / Remastered)","Juice Newton",1981,"0wb75TywskFMNQglxPdtGQ",0.432,0.212,147.053,-13.243,0.0297,0.0921,0.0159,0.0849
"25","Love On The Rocks","Neil Diamond",1981,"1GcPgAM56VA4w1WIyV7OI6",0.331,0.186,128.54,-16.986,0.0375,0.877,1.23e-05,0.0854
"26","Every Woman in the World","Air Supply",1981,"3mI9Z256VhQI6VAHRxFqUf",0.485,0.555,78.085,-6.928,0.0279,0.201,0,0.11
"27","The One That You Love","Air Supply",1981,"3LlWpVyPuoC8DIEDOZ2G72",0.424,0.421,109.048,-7.949,0.0277,0.589,0,0.339
"28","Guilty","Barbra Streisand",1981,"60mGckXEG1EzR4VmjYLfEW",0.626,0.425,150.875,-15.656,0.0356,0.231,0,0.114
"29","Elvira","The Oak Ridge Boys",1981,"0mG66FLhO0iZ6XCAGdjpax",0.825,0.274,127.299,-17.42,0.033,0.196,0.000778,0.0581
"30","Take It On the Run","REO Speedwagon",1981,"5NJcg1bvft5yNwy140v7Dn",0.352,0.725,155.539,-6.877,0.0371,0.0515,0,0.18
"31","(There's) No Gettin' Over Me - Remastered","Ronnie Milsap",1981,"1LqHxPFZo4ZD5mTIC90A0f",0.604,0.458,200.849,-10.468,0.0327,0.511,3.28e-05,0.243
"32","Woman In Love","Barbra Streisand",1981,"2m5xo4HEFHgOQpqqrxCS5u",0.484,0.469,169.678,-7.35,0.0257,0.489,9.58e-05,0.291
"33","Boy From New York City","The Manhattan Transfer",1981,"64pQUgnYPq1PzaicU9xaRf",0.708,0.504,152.216,-12.752,0.0632,0.291,0.000678,0.072
"34","Urgent (45 Version)","Foreigner",1981,"6WThbierq4pPdRzK6NiefQ",0.847,0.802,115.039,-5.847,0.0312,0.316,0.00342,0.0908
